Country,gdp_total_usd_billion_cleaned,GDP_total_Year,GDP_per_capita_nominal_cleaned,GDP_per_capita_ppp_cleaned,GDP_growth_rate_cleaned,Inflation_rate_cleaned,Unemployment_rate_cleaned,Exports_Cleaned_Billion,Imports_Cleaned_Billion,Gov_Debt_Percent_GDP_Cleaned,Gov_Debt_Absolute_Billion_Cleaned,clean_currency,Links,Trade_Balance,Trade_Openness,GDP_Capita_Ratio,Debt_to_Income,Import_Export_Ratio,Is_Eurozone,Is_USD_Pegged,gdp_total_usd_billion_cleaned_log,GDP_per_capita_nominal_cleaned_log,GDP_per_capita_ppp_cleaned_log,Exports_Cleaned_Billion_log,Imports_Cleaned_Billion_log,Gov_Debt_Absolute_Billion_Cleaned_log,cluster,economic_class,scraped_paragraph,summary
United States,30507.22,2024,89105.0,89105.0,2.0,2.7,4.3,3232.0,4136.0,63.9,35294.0,United States dollar (USD),https://en.wikipedia.org/wiki/GDP_of_the_United_States,-4.572750000000001,32.12459620397893,0.61993269397237,0.0013579484877391842,1.2797029702970297,0,1,10.325751434481415,11.397581951259,11.397581951259,8.081165777725433,8.327726166461412,10.471496589829572,2,Developed,"The United States has a highly developed diversified mixed economy . [ 40 ] [ 41 ] [ 42 ] It is the world's largest economy by nominal GDP and second largest by purchasing power parity (PPP). [ 43 ] As of 2025, it has the world's seventh highest nominal GDP per capita and ninth highest GDP per capita by PPP . [ 10 ] According to the World Bank, the U.S. accounted for 14.8% of the global aggregate GDP in 2024 in purchasing power parity terms and 26.2% in nominal terms. [ 44 ] [ 45 ] The U.S. dollar is the currency of record most used in international transactions and is the world's foremost reserve currency , backed by a large U.S. treasuries market , its role as the reference standard for the petrodollar system , and it's linked eurodollar . [ 46 ] Several countries use it as their official currency and in others it is the de facto currency . [ 47 ] Since the end of World War II , the economy has achieved relatively steady growth, low unemployment and inflation, and rapid advances in technology . [ 11 ]","The United States has a leading global economy, ranking first by nominal GDP and second by purchasing power parity. As of 2025, it ranks seventh in nominal GDP per capita and ninth in GDP per capita by PPP. The U.S. dollar serves as the primary currency for international transactions and is widely used as a reserve currency, supported by its large treasuries market and role in the petrodollar system. The economy has historically shown steady growth, low unemployment, low inflation, and technological advancements since World War II."
China,19231.71,2024,13688.0,28978.0,4.0,2.7,5.2,3577.0,2586.0,63.9,103987.0,Renminbi (CNY),https://en.wikipedia.org/wiki/GDP_of_China,5.345000000000003,32.12459620397893,0.47235834081026984,0.0028607909448547177,0.8899957933786953,0,0,9.864367754290766,9.524347869595513,10.274326708723063,8.182559264068665,7.8582541821860294,11.552030786850809,2,Developing (Upper),"The People's Republic of China is a developing mixed socialist market economy , incorporating industrial policies and strategic five-year plans . [ 30 ] China has the world's second-largest economy by nominal GDP and since 2016 has been the world's largest economy when measured by purchasing power parity (PPP). [ 31 ] [ note 2 ] China accounted for 19% of the global economy in 2022 in PPP terms, [ 32 ] and around 18% in nominal terms in 2022. [ 32 ] [ 33 ] The economy consists of state-owned enterprises (SOEs) and mixed-ownership enterprises, as well as a large domestic private sector which contribute approximately 60% of the GDP, 80% of urban employment and 90% of new jobs; the system also consist of a high degree of openness to foreign businesses.","China is a major global economic player, ranking as the world's largest economy by purchasing power parity since 2016. The economy is a mix of state-owned enterprises, mixed-ownership enterprises, and a significant private sector, with the latter contributing a substantial portion to GDP and employment. China's economic system also demonstrates openness to foreign businesses, with around 18% of the global economy and 19% of global GDP in 2022 being attributed to China in both nominal and PPP terms."
Germany,4744.8,2024,55910.0,72600.0,2.0,2.7,6.0,1660.0,1400.0,63.6,2600.0,Euro (EUR),https://en.wikipedia.org/wiki/Economy_of_Germany,5.345000000000003,64.4916540212443,0.61993269397237,0.001059967567033665,0.8899957933786953,1,0,8.465015295357658,10.931516419748775,11.192733974822708,7.415175109613295,7.244941546337007,7.8636512654486515,1,Developed,"The economy of Germany is a highly developed social market economy . [ 28 ] It has the largest national economy in Europe , the third-largest by nominal GDP in the world, and the sixth-largest by PPP-adjusted GDP . Due to a volatile currency exchange rate , Germany's GDP as measured in dollars fluctuates sharply, but it is among the world's top 4 since 1960. [ 29 ] In 2025, the country accounted for 23.7% of the Euro area economy according to the International Monetary Fund (IMF). [ 30 ] Germany is a founding member of the European Union and the eurozone . [ 31 ] [ 32 ]","Germany has the largest national economy in Europe and ranks third globally by nominal GDP. Its economy is characterized by a volatile currency exchange rate, leading to fluctuations in GDP when measured in dollars. In 2025, Germany accounted for 23.7% of the Euro area economy and is a founding member of the European Union and the eurozone."
India,4187.02,2024,2878.0,12132.0,4.0775,2.7,7.6,824.9,915.19,63.9,320782.0,Indian rupee (INR),https://en.wikipedia.org/wiki/GDP_of_India,-4.572750000000001,41.559151855018605,0.33373301294282776,0.006627101879327399,1.1094556915989817,0,0,8.339983347528213,7.965198290612176,9.403684292051873,6.716473700816671,6.820223766745619,12.67852016105164,0,Developing (Lower),"The economy of India is a developing mixed economy with a notable public sector in strategic sectors. [ 51 ] It is the world's fourth-largest economy by nominal GDP and the third-largest by purchasing power parity (PPP); on a per capita income basis, India ranked 136th by GDP (nominal) and 119th by GDP (PPP) . [ 52 ] From independence in 1947 until 1991, successive governments followed the Soviet model and promoted protectionist economic policies, with extensive Sovietization , state intervention , demand-side economics , natural resources, bureaucrat-driven enterprises and economic regulation . This is characterised as dirigism , in the form of the Licence Raj . [ 53 ] [ 54 ] The end of the Cold War and an acute balance of payments crisis in 1991 led to the adoption of a broad economic liberalisation in India and indicative planning . [ 55 ] [ 56 ] India has about 1,900 public sector companies, [ 57 ] with the Indian state having complete control and ownership of railways and highways. The Indian government has major control over banking, [ 58 ] insurance, [ 59 ] farming, [ 60 ] fertilizers and chemicals, [ 61 ] airports, [ 62 ] essential utilities. [ 63 ] The state also exerts substantial control over digitalization, telecommunication, supercomputing, space, port and shipping industries, [ 64 ] which were effectively nationalised in the mid-1950s but has seen the emergence of key corporate players. [ 53 ] [ 54 ] [ 65 ]","India has a mixed economy with a significant public sector presence in strategic industries. The country underwent economic liberalization in 1991, moving away from protectionist policies towards a more market-oriented approach. The Indian government maintains control and ownership over key sectors such as railways, highways, banking, insurance, and utilities, while also influencing industries like digitalization, telecommunication, and space through nationalization and the emergence of key corporate players."
Japan,4186.43,2024,33956.0,54678.0,2.0,3.59,2.6,691.0,721.1,63.9,1457000.0,Japanese yen (JPY),https://en.wikipedia.org/wiki/Economy_of_Japan,-4.572750000000001,33.73040991966902,0.61993269397237,0.0048264384213029,1.0435600578871203,0,0,8.33984245957569,10.43285029730053,10.90923500244827,6.539585955617669,6.582163633457136,14.191890771518905,1,Developed,"The economy of Japan is a highly developed mixed economy , often referred to as an East Asian model . [ 26 ] According to the IMF forecast for 2025, it will be the fifth-largest economy in the world by nominal GDP as well as by purchasing power parity (PPP) by the end of the year. [ 27 ] It constituted 3.7% of the world's economy on a nominal basis in 2024. According to the same forecast, the country's per capita GDP (PPP) will be $54,678 (2025). [ 28 ] [ 29 ] Due to a volatile currency exchange rate , Japan's nominal GDP as measured in American dollars fluctuates sharply.","Japan's economy is a highly developed mixed economy, projected to be the fifth-largest in the world by nominal GDP and purchasing power parity in 2025. It currently accounts for 3.7% of the global economy on a nominal basis. Japan's per capita GDP is forecasted to reach $54,678 in 2025, but its nominal GDP is subject to fluctuations due to volatile currency exchange rates."
United Kingdom,3839.18,2024,54950.0,63660.0,2.0,3.6,4.4,837.7,865.7,63.9,2686.0,Pound sterling (GBP),https://en.wikipedia.org/wiki/GDP_of_the_United_Kingdom,-4.572750000000001,44.368849598091266,0.61993269397237,0.0015080113100848257,1.0334248537662647,0,0,8.253274519483174,10.914197158028326,11.061327409163853,6.731853073990366,6.764692896140299,7.8961806086154915,1,Developed,"The United Kingdom has a highly developed social market economy . [ 24 ] [ 25 ] [ 26 ] From 2017 to 2025 it has been the sixth-largest national economy in the world measured by nominal gross domestic product (GDP), tenth-largest by purchasing power parity (PPP), and about 18th by nominal GDP per capita , [ 27 ] constituting  2.4% of world GDP and 2.2% by purchasing power parity (PPP). [ 28 ] [ 29 ]","The United Kingdom boasts a robust social market economy, ranking as the sixth-largest national economy globally in terms of nominal GDP from 2017 to 2025. Additionally, it is the tenth-largest economy by purchasing power parity and holds about 2.4% of the world's GDP and 2.2% by PPP. The UK also ranks around 18th in the world in terms of nominal GDP per capita."
France,3211.29,2024,46792.0,65626.0,2.0,2.7,7.0,1050.0,803.6,63.9,2813.0,Euro (EUR),https://en.wikipedia.org/wiki/Economy_of_France,5.345000000000003,57.72135185548487,0.61993269397237,0.0017157833785389936,0.8899957933786953,1,0,8.07473935741698,10.753488898069062,11.091742475620011,6.957497370876951,6.690345259515688,7.942362237674335,1,Developed,"The economy of France is a highly developed social market economy with notable state participation in strategic sectors. [ 30 ] It is the world's seventh-largest economy by nominal GDP and the ninth-largest economy by PPP , [ 31 ] constituting around 4% of world GDP . [ 32 ] Due to a volatile currency exchange rate , France's GDP as measured in dollars fluctuates sharply, being smaller in 2024 than in 2008. France has a diversified economy, [ 33 ] that is dominated by the service sector (which in 2017 represented 78.8% of its GDP), whilst the industrial sector accounted for 19.5% of its GDP and the primary sector accounted for the remaining 1.7%. [ 34 ] In 2020, France was the largest Foreign Direct Investment recipient in Europe, [ 35 ] and Europe's second-largest spender in research and development . [ 36 ] It was ranked among the 10 most innovative countries in the world by the 2020 Bloomberg Innovation Index , [ 37 ] as well as the 15th most competitive nation globally according to the 2019 Global Competitiveness Report (up 2 notches compared to 2018). [ 38 ] It was the fifth-largest trading nation in the world (and second in Europe after Germany). France is also the most visited destination in the world , [ 39 ] [ 40 ] as well as the European Union 's leading agricultural power. [ 41 ]","France has a highly developed social market economy, ranking as the world's seventh-largest economy by nominal GDP and ninth-largest by PPP. The economy is diversified, with the service sector contributing 78.8% to GDP, followed by the industrial sector at 19.5% and the primary sector at 1.7%. In 2020, France was the largest recipient of Foreign Direct Investment in Europe and ranked among the top innovative and competitive countries globally. Additionally, France is a major player in international trade, tourism, and agriculture within the European Union."
Italy,2422.86,2024,41710.0,62600.0,2.0,3.99,6.0,777.594,591.0,63.9,2410.0,Euro (EUR),https://en.wikipedia.org/wiki/Economy_of_Italy,5.345000000000003,56.48671404868626,0.61993269397237,0.00215335463258786,0.8899957933786953,1,0,7.793116589745699,10.638520161969526,11.044536531401494,6.657489729007438,6.3835066348840055,7.787796878181171,1,Developed,"The economy of Italy is a highly developed social market economy . [ 33 ] It is the third-largest national economy in the European Union , the 8th-largest economy in the world by nominal GDP , and the 11th-largest by PPP-adjusted GDP . The country has the second-largest manufacturing industry in Europe , which is also the 7th-largest in the world . Italy has a diversified economy which is dominated by the tertiary service sector . The country is a great power , and is a founding member of the European Union , the eurozone , the Schengen Area , the OECD , the G7 and the G20 ; [ 34 ] it is the eighth-largest exporter in the world , with $611 billion exported in 2021. Its closest trade ties are with the other countries of the European Union, with whom it conducts about 59% of its total trade. Its largest trading partners are Germany (12.5%) and France (10.3%), followed by the United States (9%), Spain (5.2%), the United Kingdom (5.2%) and Switzerland (4.6%). [ 35 ]","Italy has a strong and diversified economy, ranking as the third-largest national economy in the European Union and the eighth-largest globally by nominal GDP. The country's manufacturing industry is the second-largest in Europe and seventh-largest worldwide. Italy is a major exporter, with close trade ties to other EU countries, particularly Germany and France, as well as the United States, Spain, the United Kingdom, and Switzerland."
Canada,2225.34,2024,53560.0,65710.0,2.0,2.7,7.1,727.8,733.7,49.15,66.02,Canadian dollar (CAD),https://en.wikipedia.org/wiki/Economy_of_Canada,-4.572750000000001,65.67535747346473,0.61993269397237,0.001059967567033665,1.0081066226985438,0,0,7.708114260513291,10.888576470280553,11.093021618159923,6.5913993459457485,6.599462252626232,4.2049910823091645,1,Developed,"The economy of Canada is a highly developed mixed economy . [ 34 ] [ 35 ] [ 36 ] As of 2025, it is the ninth-largest in the world, with a nominal GDP of approximately US$ 2.39 trillion . [ 37 ] Its GDP per capita in purchasing power parity (PPP) international dollars is about 27.5% lower than that of the highest-ranking G7 country. [ 38 ] Canada is one of the world's largest trading nations , with a highly globalized economy. [ 39 ] In 2021, Canadian trade in goods and services reached $2.016 trillion. [ 40 ] Canada's exports totalled over $637 billion, while its imported goods were worth over $631 billion, of which approximately $391 billion originated from the United States. [ 40 ] In 2018, Canada had a trade deficit in goods of $22 billion and a trade deficit in services of $25 billion. [ 40 ] The Toronto Stock Exchange is the tenth-largest stock exchange in the world by market capitalization , listing over 1,500 companies with a combined market capitalization of over US$3 trillion . [ 41 ]","Canada has a highly developed mixed economy, ranking ninth in the world with a GDP of approximately US$2.39 trillion in 2025. The country is one of the largest trading nations globally, with trade in goods and services reaching $2.016 trillion in 2021. Canada's trade deficit in goods was $22 billion in 2018, with a trade deficit in services of $25 billion."
Brazil,2125.96,2024,9960.0,23241.0,2.0,3.59,5.6,337.04,262.86,49.15,66.02,Brazilian real (BRL),https://en.wikipedia.org/wiki/Economy_of_Brazil,5.345000000000003,32.12459620397893,0.4285529882535175,0.002114797125769115,0.8899957933786953,0,0,7.662449009193598,9.206432747145165,10.05371626578282,5.823164231676282,5.5754186594556305,4.2049910823091645,3,Developing (Upper),"The economy of Brazil is the largest in Latin America and the Southern Hemisphere in nominal terms. [ 32 ] As of 2024, the Brazilian economy is the third largest in the Americas in nominal terms, and second largest in purchasing power parity. It is an upper-middle income developing economy. In 2024, according to International Monetary Fund (IMF), Brazil had the 10th largest nominal gross domestic product in the world, but the 7th largest purchasing power parity GDP in the world. [ 33 ] [ 34 ] In 2024, according to Forbes , Brazil was the 7th largest country in the world by number of billionaires. [ 35 ] Brazil is one of the ten chief industrial states in the world according to International Labour Organization . [ 36 ] According to the International Monetary Fund (IMF), Brazil's nominal GDP was US$2.331 trillion; the country has a long history of being among the largest economies in the world and the GDP per capita was US$11,178 per inhabitant. [ 33 ] [ 34 ]","Brazil has the largest economy in Latin America and the Southern Hemisphere in nominal terms, ranking as the third largest in the Americas and second largest in purchasing power parity as of 2024. It is an upper-middle income developing economy with the 10th largest nominal GDP and 7th largest purchasing power parity GDP in the world. Additionally, Brazil is recognized as one of the ten chief industrial states globally and had a nominal GDP of US$2.331 trillion in 2024, with a GDP per capita of US$11,178 per inhabitant."
